WRI_ID,index,SQL
cit.015,f94db446-be63-4fb9-a6ea-7cc918a0d338,SELECT * FROM cit_015_urban_heat_island_effect
cit.028,35ce2b98-adbb-4873-b334-d7b1cc542de7,SELECT * FROM cit_028_percent_urban_slums_edit WHERE yr_2014 IS NOT NULL
,c92e76fc-378a-45c2-a095-316833c2bc47,SELECT * FROM ene_012_percentage_national_population_access_electricity
soc.026,0be2ce12-79b3-434b-b557-d6ea92d787fe,SELECT * FROM soc_026_gender_gap_index_1 WHERE overall_index_score IS NOT NULL 
,373e2b78-39e9-46d6-8b66-86ae047ffc93,SELECT * FROM foo_015_global_hunger_index_edit
,d43772aa-9301-4401-939a-6cbd91efad6e,SELECT * FROM foo_015_global_hunger_index
foo.015,4338471d-881a-475f-8bd9-60c4d48b8e12,SELECT * FROM foo_015_global_hunger_index
,ac03dc53-d302-4db0-a7b2-62830d2d4c39,SELECT * FROM cit_022_road_traffic_deaths_by_country
cit.022,6b670396-c52c-430c-b5bb-20693da03b60,SELECT * FROM cit_022_road_traffic_deaths_by_country
wat.012,c9eadefd-4a06-4f3b-a2eb-3e3f45624c24,SELECT * FROM wat_012_city_water_intakes
ene.005,80c31f61-6e12-47a0-865d-f33a48bfdebb,SELECT * FROM ene_005_geothermal_energy_investments
com.002,51159bdb-4904-4101-a88e-ca7bd4f67cb0,SELECT * FROM com_002_airports_edit
com.017,e0b94aef-4a3c-4fe3-8a58-7b713a4234a2,SELECT * FROM com_017_world_port_index
cit.020,6d3163f5-4e08-4830-84f1-2c5d76570a82,SELECT * FROM cit_020_nat_pop_exposed_high_levels_pm_2_5_edit
,4ef51f51-6c85-4485-b33a-0db0efcf6685,SELECT * FROM cli_029_vulnerability_to_climate_change
cli.029,fa6443ff-eb95-4d0f-84d2-f0c91682efdf,SELECT * FROM cli_029_vulnerability_to_cc
soc.020,f8d3e79c-c3d0-4f9a-9b68-9c5ad1f025e4,SELECT * FROM soc_020_gini WHERE yr_2012 IS NOT NULL
soc.036,8671f536-1979-4b6f-a147-70152fcb44ed,SELECT * FROM soc_036_life_expectancy_at_birth WHERE yr_2015 IS NOT NULL 
,f68f2900-f43b-4cad-9e73-5d981258845a,SELECT * FROM foo_040_fisheries_vul_climate
,8a2c24f5-72ef-439f-ab09-4ce8ed87cc87,SELECT * FROM foo_040_fisheries_vul_climate
ene.007,fd49c7ad-db12-4c1e-b74d-adef17160f50,SELECT * FROM ene_007_oil_pipelines
,8f14a33e-5a61-47af-b26e-c1fc036932a5,SELECT * FROM cit_029_municipal_waste
com.015,c18a38cd-94ff-48cd-818f-6ffb05992abb,SELECT * FROM com_015_recycling_rates
,093b89c8-58e6-4b0c-bec1-d46170f7a253,SELECT * FROM vnp14imgtdl_nrt_global_7d
cit.025,d38d0d5c-31b1-47f4-9d2e-d8fba4c7d083,SELECT * FROM cit_025_urban_population WHERE yr_2016 IS NOT NULL
ene.020,1d6c6bcc-7787-4b9c-84bb-25a185c124dc,SELECT * FROM ene_020_clean_energy_investment_potential
com.018,4fcdfd32-a02b-4068-8062-a0fee100aa75,SELECT * FROM com_018_undiscovered_oil_gas_resources
bio.011,33bed1fb-9261-41bf-8b50-127a4d0c80c5,SELECT * FROM bio_011_freshwater_ecoregions
,2370d1f5-7e01-4466-9e1e-48a7f1e10c95,SELECT * FROM cit_032_urban_population_percentage_edit
bio.009,3c12072d-611b-413f-b314-4df0834523ab,SELECT * FROM bio_009_ecoregions_prioritized_conservation
bio.021,050f4146-566c-4a6d-9aaa-b49ab66a3090,SELECT * FROM bio_021_terrestrial_ecoregions
,95f3430e-9fdc-47bc-9963-2c78e42e5f88,SELECT * FROM soc_019_population_projections
cli.007,3d2ce960-abda-4c9c-bd29-1929e9ca24c9,SELECT * FROM cli_007_greenhouse_gas_emissions_projections
com.006,2e31a1f3-576b-46b4-84f0-3f0cc399f887,SELECT * FROM com_006_national_current_accounts_edit WHERE yr_2015 IS NOT NULL
foo.019,8bc79a36-d77e-4ee3-b9bc-c77146cfc503,SELECT * FROM foo_019_child_malnutrition_edit WHERE overweight is not NULL
soc.015,e8f53f73-d77c-485a-a2a6-1c47ea4aead9,SELECT*FROM soc_015_adult_literacy_rate WHERE yr_2015 IS NOT NULL
